Column1,Column2,Column3,Column4,Column5,Column6,Column7
"Fiscal year is July-June. All values BDT Millions.","2022","2021","2020","2019","2018","5-year trend"
"Net Income before Extraordinaries","-","-","-","-","-",""
"Cash & Short Term Investments","108","95","79","168","212",""
"Cash Only","108","95","79","168","210",""
"Short-Term Investments","-","-","-","-","-",""
"Cash & Short Term Investments Growth","14.26%","19.50%","-52.86%","-21.04%","-",""
"Cash & ST Investments / Total Assets","0.53%","0.54%","0.45%","1.11%","1.48%",""
"Total Accounts Receivable","1,477","897","699","2,030","1,875",""
"Accounts Receivables, Net","1,468","894","697","2,025","1,866",""
"Accounts Receivables, Gross","1,468","894","697","2,025","1,866",""
"Bad Debt/Doubtful Accounts","-","-","-","-","-",""
"Other Receivables","8","3","2","5","9",""
"Accounts Receivable Growth","64.66%","28.29%","-65.56%","8.29%","-",""
"Accounts Receivable Turnover","8.79","13.12","16.89","7.79","8.51",""
"Inventories","9,889","8,301","8,751","7,377","7,444",""
"Finished Goods","2,930","2,770","2,932","2,180","2,285",""
"Work in Progress","1,397","1,424","1,494","1,468","1,433",""
"Raw Materials","3,743","2,627","2,721","2,265","2,225",""
"Progress Payments & Other","1,819","1,480","1,605","1,464","1,501",""
"Other Current Assets","695","1,014","1,026","1,137","725",""
"Prepaid Expenses","45","15","123","93","35",""
"Miscellaneous Current Assets","650","1,000","903","1,044","689",""
"Total Current Assets","12,169","10,307","10,555","10,713","10,256",""
"Net Property, Plant & Equipment","8,074","7,154","6,904","4,301","3,962",""
"Property, Plant & Equipment - Gross","12,659","11,095","10,263","7,169","6,414",""
"Buildings","3,207","2,320","2,299","2,088","1,336",""
"Land & Improvements","1,444","1,444","1,444","1,279","1,279",""
"Machinery & Equipment","2,312","2,159","1,718","1,347","1,303",""
"Construction in Progress","12","53","28","32","584",""
"Leases","-","-","-","-","-",""
"Computer Software and Equipment","118","80","79","71","64",""
"Leased Property","-","-","-","-","-",""
"Transportation Equipment","190","179","174","173","131",""
"Other Property, Plant & Equipment","2,800","2,529","2,399","2,180","1,716",""
"Accumulated Depreciation","4,585","3,941","3,358","2,869","2,452",""
"Buildings","827","721","633","555","496",""
"Land & Improvements","-","-","-","-","-",""
"Machinery & Equipment","1,411","1,188","992","853","725",""
"Construction in Progress","-","-","-","-","-",""
"Leases","-","-","-","-","-",""
"Computer Software and Equipment","79","52","26","2","48",""
"Leased Property","-","-","-","-","-",""
"Transportation Equipment","158","138","115","89","71",""
"Other Property, Plant & Equipment","2,110","1,842","1,593","1,369","1,111",""
"Total Investments and Advances","2","2","2","2","2",""
"LT Investment - Affiliate Companies","-","-","-","-","-",""
"Other Long-Term Investments","2","2","2","2","2",""
"Long-Term Note Receivable","-","-","-","-","-",""
"Intangible Assets","-","-","-","-","-",""
"Net Goodwill","-","-","-","-","-",""
"Net Other Intangibles","-","-","-","-","-",""
"Other Assets","-","-","-","-","-",""
"Deferred Charges","-","-","-","-","-",""
"Tangible Other Assets","-","-","-","-","-",""
"Total Assets","20,402","17,606","17,607","15,159","14,353",""
"Assets - Total - Growth","15.88%","-0.01%","16.15%","5.61%","-",""
"Asset Turnover","0.68","-","-","-","-",""
"Return On Average Assets","0.73%","-","-","-","-",""
