,Item  Item,2018,2019,2020,2021,2022,5-year trend
0,Sales/Revenue  Sales/Revenue,15.95B,15.81B,11.81B,11.76B,12.97B,
1,Sales Growth  Sales Growth,-,-0.87%,-25.29%,-0.39%,10.29%,
2,Cost of Goods Sold (COGS) incl. D&A  Cost of Goods Sold (COGS) incl. D&A,12.86B,12.56B,9.27B,9.22B,10.18B,
3,COGS Growth  COGS Growth,-,-2.37%,-26.19%,-0.52%,10.44%,
4,COGS excluding D&A  COGS excluding D&A,12.4B,12.14B,8.19B,8.04B,9.25B,
5,Depreciation & Amortization Expense  Depreciation & Amortization Expense,462.52M,416.49M,1.07B,1.18B,928.61M,
6,Depreciation  Depreciation,462.52M,416.49M,1.07B,1.18B,928.61M,
7,Amortization of Intangibles  Amortization of Intangibles,-,-,-,-,-,
8,Gross Income  Gross Income,3.09B,3.25B,2.54B,2.55B,2.79B,
9,Gross Income Growth  Gross Income Growth,-,5.37%,-21.82%,0.10%,9.73%,
10,Gross Profit Margin  Gross Profit Margin,-,-,-,-,21.53%,
11,SG&A Expense  SG&A Expense,2.24B,2.35B,1.46B,1.47B,1.82B,
12,SGA Growth  SGA Growth,-,5.17%,-38.13%,0.84%,24.23%,
13,Research & Development  Research & Development,-,-,-,-,-,
14,Other SG&A  Other SG&A,2.24B,2.35B,1.46B,1.47B,1.82B,
15,Other Operating Expense  Other Operating Expense,-,-,-,-,-,
16,Unusual Expense  Unusual Expense,-,-,-,-,-,
17,EBIT after Unusual Expense  EBIT after Unusual Expense,-,-,-,-,-,
18,Non Operating Income/Expense  Non Operating Income/Expense,1.51M,1.43M,1.43M,4.02M,15.83M,
19,Non-Operating Interest Income  Non-Operating Interest Income,779.3K,1.26M,566.49K,493.46K,472.33K,
20,Equity in Affiliates (Pretax)  Equity in Affiliates (Pretax),-,-,-,-,-,
21,Interest Expense  Interest Expense,607.91M,684.13M,874.91M,828.62M,756.29M,
22,Interest Expense Growth  Interest Expense Growth,-,12.54%,27.89%,-5.29%,-8.73%,
23,Gross Interest Expense  Gross Interest Expense,607.91M,684.13M,874.91M,828.62M,756.29M,
24,Interest Capitalized  Interest Capitalized,-,-,-,-,-,
25,Pretax Income  Pretax Income,243.77M,217.94M,214.12M,253.19M,229.28M,
26,Pretax Income Growth  Pretax Income Growth,-,-10.59%,-1.75%,18.25%,-9.44%,
27,Pretax Margin  Pretax Margin,-,-,-,-,1.77%,
28,Income Tax  Income Tax,113.94M,95.17M,150.88M,147.87M,91.05M,
29,Income Tax - Current Domestic  Income Tax - Current Domestic,130.78M,105.7M,153.26M,145.04M,104.67M,
30,Income Tax - Current Foreign  Income Tax - Current Foreign,-,-,-,-,-,
31,Income Tax - Deferred Domestic  Income Tax - Deferred Domestic,(16.84M),(10.53M),(2.38M),2.84M,(13.62M),
32,Income Tax - Deferred Foreign  Income Tax - Deferred Foreign,-,-,-,-,-,
33,Income Tax Credits  Income Tax Credits,-,-,-,-,-,
34,Equity in Affiliates  Equity in Affiliates,-,-,-,-,-,
35,Other After Tax Income (Expense)  Other After Tax Income (Expense),-,-,-,-,-,
36,Consolidated Net Income  Consolidated Net Income,129.83M,122.77M,63.23M,105.31M,138.23M,
37,Minority Interest Expense  Minority Interest Expense,-,-,-,-,-,
38,Net Income  Net Income,129.83M,122.77M,63.23M,105.31M,138.23M,
39,Net Income Growth  Net Income Growth,-,-5.44%,-48.49%,66.55%,31.25%,
40,Net Margin Growth  Net Margin Growth,-,-,-,-,1.07%,
41,Extraordinaries & Discontinued Operations  Extraordinaries & Discontinued Operations,-,-,-,-,-,
42,Extra Items & Gain/Loss Sale Of Assets  Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-,
43,Cumulative Effect - Accounting Chg  Cumulative Effect - Accounting Chg,-,-,-,-,-,
44,Discontinued Operations  Discontinued Operations,-,-,-,-,-,
45,Net Income After Extraordinaries  Net Income After Extraordinaries,129.83M,122.77M,63.23M,105.31M,138.23M,
46,Preferred Dividends  Preferred Dividends,-,-,-,-,-,
47,Net Income Available to Common  Net Income Available to Common,129.83M,122.77M,63.23M,105.31M,138.23M,
48,EPS (Basic)  EPS (Basic),9.99,9.45,4.87,8.11,10.64,
49,EPS (Basic) Growth  EPS (Basic) Growth,-,-5.44%,-48.50%,66.55%,31.25%,
50,Basic Shares Outstanding  Basic Shares Outstanding,12.99M,12.99M,12.99M,12.99M,12.99M,
51,EPS (Diluted)  EPS (Diluted),9.99,9.45,4.87,8.11,10.64,
52,EPS (Diluted) Growth  EPS (Diluted) Growth,-,-5.44%,-48.50%,66.55%,31.25%,
53,Diluted Shares Outstanding  Diluted Shares Outstanding,12.99M,12.99M,12.99M,12.99M,12.99M,
54,EBITDA  EBITDA,1.31B,1.32B,2.16B,2.26B,1.9B,
55,EBITDA Growth  EBITDA Growth,-,0.30%,64.19%,4.44%,-15.89%,
56,EBITDA Margin  EBITDA Margin,-,-,-,-,14.63%,
