BDT Per Billon,index,2018,2019,2020,2021,2022
Net Income before Extraordinaries,0.0,,,63230.0,105310.0,138230.0
Net Income Growth,1.0,,,,0.6655,0.3125
"Depreciation, Depletion & Amortization",2.0,,,1070000.0,1180000.0,1260000.0
Depreciation and Depletion,3.0,,,1070000.0,1180000.0,1260000.0
Amortization of Intangible Assets,4.0,,,,,
Deferred Taxes & Investment Tax Credit,5.0,,,2380.0,2840.0,13620.0
Deferred Taxes,6.0,,,2380.0,2840.0,13620.0
Investment Tax Credit,7.0,,,,,
Other Funds,"index    index            8\n2018     (450.61M)\n2019  ...
2018     index            8\n2018     (450.61M)\n2019  ...
2019     index            8\n2018     (450.61M)\n2019  ...
2020     index            8\n2018     (450.61M)\n2019  ...
2021     index            8\n2018     (450.61M)\n2019  ...
2022     index            8\n2018     (450.61M)\n2019  ...
Name: Other Funds, dtype: object","index    index            8\n2018     (450.61M)\n2019  ...
2018     index            8\n2018     (450.61M)\n2019  ...
2019     index            8\n2018     (450.61M)\n2019  ...
2020     index            8\n2018     (450.61M)\n2019  ...
2021     index            8\n2018     (450.61M)\n2019  ...
2022     index            8\n2018     (450.61M)\n2019  ...
Name: Other Funds, dtype: object","index    index            8\n2018     (450.61M)\n2019  ...
2018     index            8\n2018     (450.61M)\n2019  ...
2019     index            8\n2018     (450.61M)\n2019  ...
2020     index            8\n2018     (450.61M)\n2019  ...
2021     index            8\n2018     (450.61M)\n2019  ...
2022     index            8\n2018     (450.61M)\n2019  ...
Name: Other Funds, dtype: object","index    index            8\n2018     (450.61M)\n2019  ...
2018     index            8\n2018     (450.61M)\n2019  ...
2019     index            8\n2018     (450.61M)\n2019  ...
2020     index            8\n2018     (450.61M)\n2019  ...
2021     index            8\n2018     (450.61M)\n2019  ...
2022     index            8\n2018     (450.61M)\n2019  ...
Name: Other Funds, dtype: object","index    index            8\n2018     (450.61M)\n2019  ...
2018     index            8\n2018     (450.61M)\n2019  ...
2019     index            8\n2018     (450.61M)\n2019  ...
2020     index            8\n2018     (450.61M)\n2019  ...
2021     index            8\n2018     (450.61M)\n2019  ...
2022     index            8\n2018     (450.61M)\n2019  ...
Name: Other Funds, dtype: object","index    index            8\n2018     (450.61M)\n2019  ...
2018     index            8\n2018     (450.61M)\n2019  ...
2019     index            8\n2018     (450.61M)\n2019  ...
2020     index            8\n2018     (450.61M)\n2019  ...
2021     index            8\n2018     (450.61M)\n2019  ...
2022     index            8\n2018     (450.61M)\n2019  ...
Name: Other Funds, dtype: object"
Funds from Operations,9.0,466280.0,262089.99999999997,540950.0,504760.0,1640000.0
Extraordinaries,10.0,,,,,
Changes in Working Capital,11.0,,,223210.0,265650.0,2009999.9999999998
Receivables,12.0,,,1330000.0,196990.0,574440.0
Accounts Payable,13.0,,,88130.0,23860.0,64360.0
Other Assets/Liabilities,14.0,,,425050.0,37410.0,90190.0
Net Operating Cash Flow,15.0,466280.0,262089.99999999997,764160.0,770410.0,363360.0
Net Operating Cash Flow Growth,16.0,,-0.4379,1.9156,0.008199999999999999,-1.4716
Net Operating Cash Flow / Sales,17.0,0.0292,0.0166,0.0647,0.0655,-0.027999999999999997
Capital Expenditures,0.0,1390000.0,1080000.0,1190000.0,845730.0,927300.0
Capital Expenditures Growth,1.0,,0.2275,-0.10779999999999999,0.2912,-0.0965
Capital Expenditures / Sales,2.0,-0.0874,-0.0681,-0.10099999999999999,-0.0719,-0.07150000000000001
Capital Expenditures (Fixed Assets),3.0,1390000.0,1080000.0,1190000.0,845730.0,927300.0
