BDT Per Billon,2018,2019,2020,2021,2022
Sales/Revenue,15950000000.0,15810000000.0,11810000000.0,11760000000.0,12970000000.0
Sales Growth,,-0.0087,-0.2529,-0.0039000000000000003,0.10289999999999999
Cost of Goods Sold (COGS) incl. D&A,12860000000.0,12560000000.0,9270000000.0,9220000000.0,10180000000.0
COGS Growth,,-0.023700000000000002,-0.2619,-0.0052,0.10439999999999999
COGS excluding D&A,12400000000.0,12140000000.0,8189999999.999999,8039999999.999999,9250000000.0
Depreciation & Amortization Expense,462520000.0,416490000.0,1070000000.0000001,1180000000.0,928610000.0
Depreciation,462520000.0,416490000.0,1070000000.0000001,1180000000.0,928610000.0
Gross Income,3090000000.0,3250000000.0,2540000000.0,2550000000.0,2790000000.0
Gross Income Growth,,0.0537,-0.2182,0.001,0.0973
Gross Profit Margin,,,,,0.21530000000000002
SG&A Expense,2240000000.0,2350000000.0,1460000000.0,1470000000.0,1820000000.0
SGA Growth,,0.051699999999999996,-0.38130000000000003,0.0084,0.24230000000000002
Other SG&A,2240000000.0,2350000000.0,1460000000.0,1470000000.0,1820000000.0
Non Operating Income/Expense,1510000.0,1430000.0,1430000.0,4019999.9999999995,15830000.0
Non-Operating Interest Income,779300.0,1260000.0,566490.0,493460.0,472330.0
Interest Expense,607910000.0,684130000.0,874910000.0,828620000.0,756290000.0
Interest Expense Growth,,0.12539999999999998,0.2789,-0.0529,-0.0873
Gross Interest Expense,607910000.0,684130000.0,874910000.0,828620000.0,756290000.0
Pretax Income,243770000.0,217940000.0,214120000.0,253190000.0,229280000.0
Pretax Income Growth,,-0.1059,-0.0175,0.1825,-0.0944
Pretax Margin,,,,,0.0177
Income Tax,113940000.0,95170000.0,150880000.0,147870000.0,91050000.0
Income Tax - Current Domestic,130780000.0,105700000.0,153260000.0,145040000.0,104670000.0
Income Tax - Deferred Domestic,-16840000.0,-10530000.0,-2380000.0,2840000.0,-13620000.0
Consolidated Net Income,129830000.00000001,122770000.0,63230000.0,105310000.0,138230000.0
Net Income,129830000.00000001,122770000.0,63230000.0,105310000.0,138230000.0
Net Income Growth,,-0.054400000000000004,-0.4849,0.6655,0.3125
Net Margin Growth,,,,,0.010700000000000001
Net Income After Extraordinaries,129830000.00000001,122770000.0,63230000.0,105310000.0,138230000.0
Net Income Available to Common,129830000.00000001,122770000.0,63230000.0,105310000.0,138230000.0
EPS (Basic),9.99,9.45,4.87,8.11,10.64
EPS (Basic) Growth,,-0.054400000000000004,-0.485,0.6655,0.3125
Basic Shares Outstanding,12990000.0,12990000.0,12990000.0,12990000.0,12990000.0
EPS (Diluted),9.99,9.45,4.87,8.11,10.64
EPS (Diluted) Growth,,-0.054400000000000004,-0.485,0.6655,0.3125
Diluted Shares Outstanding,12990000.0,12990000.0,12990000.0,12990000.0,12990000.0
EBITDA,1310000000.0,1320000000.0,2160000000.0,2260000000.0,1900000000.0
EBITDA Growth,,0.003,0.6419,0.0444,-0.1589
EBITDA Margin,,,,,0.1463
