Item  Item,2018,2019,2020,2021,2022,5-year trend
Sales/Revenue,15.95B,15.81B,11.81B,11.76B,12.97B,
Sales Growth,-,-0.87%,-25.29%,-0.39%,10.29%,
Cost of Goods Sold (COGS) incl. D&A,12.86B,12.56B,9.27B,9.22B,10.18B,
COGS Growth,-,-2.37%,-26.19%,-0.52%,10.44%,
COGS excluding D&A,12.4B,12.14B,8.19B,8.04B,9.25B,
Depreciation & Amortization Expense,462.52M,416.49M,1.07B,1.18B,928.61M,
Depreciation,462.52M,416.49M,1.07B,1.18B,928.61M,
Amortization of Intangibles,-,-,-,-,-,
Gross Income,3.09B,3.25B,2.54B,2.55B,2.79B,
Gross Income Growth,-,5.37%,-21.82%,0.10%,9.73%,
Gross Profit Margin,-,-,-,-,21.53%,
SG&A Expense,2.24B,2.35B,1.46B,1.47B,1.82B,
SGA Growth,-,5.17%,-38.13%,0.84%,24.23%,
Research & Development,-,-,-,-,-,
Other SG&A,2.24B,2.35B,1.46B,1.47B,1.82B,
Other Operating Expense,-,-,-,-,-,
Unusual Expense,-,-,-,-,-,
EBIT after Unusual Expense,-,-,-,-,-,
Non Operating Income/Expense,1.51M,1.43M,1.43M,4.02M,15.83M,
Non-Operating Interest Income,779.3K,1.26M,566.49K,493.46K,472.33K,
Equity in Affiliates (Pretax),-,-,-,-,-,
Interest Expense,607.91M,684.13M,874.91M,828.62M,756.29M,
Interest Expense Growth,-,12.54%,27.89%,-5.29%,-8.73%,
Gross Interest Expense,607.91M,684.13M,874.91M,828.62M,756.29M,
Interest Capitalized,-,-,-,-,-,
Pretax Income,243.77M,217.94M,214.12M,253.19M,229.28M,
Pretax Income Growth,-,-10.59%,-1.75%,18.25%,-9.44%,
Pretax Margin,-,-,-,-,1.77%,
Income Tax,113.94M,95.17M,150.88M,147.87M,91.05M,
Income Tax - Current Domestic,130.78M,105.7M,153.26M,145.04M,104.67M,
Income Tax - Current Foreign,-,-,-,-,-,
Income Tax - Deferred Domestic,(16.84M),(10.53M),(2.38M),2.84M,(13.62M),
Income Tax - Deferred Foreign,-,-,-,-,-,
Income Tax Credits,-,-,-,-,-,
Equity in Affiliates,-,-,-,-,-,
Other After Tax Income (Expense),-,-,-,-,-,
Consolidated Net Income,129.83M,122.77M,63.23M,105.31M,138.23M,
Minority Interest Expense,-,-,-,-,-,
Net Income,129.83M,122.77M,63.23M,105.31M,138.23M,
Net Income Growth,-,-5.44%,-48.49%,66.55%,31.25%,
Net Margin Growth,-,-,-,-,1.07%,
Extraordinaries & Discontinued Operations,-,-,-,-,-,
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-,
Cumulative Effect - Accounting Chg,-,-,-,-,-,
Discontinued Operations,-,-,-,-,-,
Net Income After Extraordinaries,129.83M,122.77M,63.23M,105.31M,138.23M,
Preferred Dividends,-,-,-,-,-,
Net Income Available to Common,129.83M,122.77M,63.23M,105.31M,138.23M,
EPS (Basic),9.99,9.45,4.87,8.11,10.64,
EPS (Basic) Growth,-,-5.44%,-48.50%,66.55%,31.25%,
Basic Shares Outstanding,12.99M,12.99M,12.99M,12.99M,12.99M,
EPS (Diluted),9.99,9.45,4.87,8.11,10.64,
EPS (Diluted) Growth,-,-5.44%,-48.50%,66.55%,31.25%,
Diluted Shares Outstanding,12.99M,12.99M,12.99M,12.99M,12.99M,
EBITDA,1.31B,1.32B,2.16B,2.26B,1.9B,
EBITDA Growth,-,0.30%,64.19%,4.44%,-15.89%,
EBITDA Margin,-,-,-,-,14.63%,
