BDT Per Billon,2017,2018,2019,2020,2021
Cash & Short Term Investments,714330000.0,949870000.0,1340000000.0,1790000000.0,1630000000.0
Cash & Short Term Investments Growth,,0.3297,0.4121,0.33380000000000004,-0.0894
Cash Only,714330000.0,949870000.0,1340000000.0,1790000000.0,1630000000.0
Cash & ST Investments / Total Assets,0.4607,0.5203,0.5542,0.5363,0.5228
Total Accounts Receivable,134400000.0,87700000.0,47420000.0,30900000.0,70980000.0
Total Accounts Receivable Growth,,-0.3475,-0.4593,-0.34840000000000004,1.2973
"Accounts Receivables, Net",127260000.0,81090000.0,40890000.0,22960000.0,67710000.0
"Accounts Receivables, Gross",127260000.0,81930000.0,41180000.0,23140000.0,67940000.0
Bad Debt/Doubtful Accounts,,-842000.0,-290880.0,-178280.0,-225700.0
Other Receivable,7140000.0,6610000.0,6530000.0,7940000.0,3270000.0
Accounts Receivable Turnover,27.3,40.61,87.02,172.62,69.62
Inventories,286090000.0,309940000.0,461820000.0,644480000.0,589600000.0
Finished Goods,85000000.0,123390000.0,270380000.0,303600000.0,294340000.0
Work in Progress,3470000.0,1360000.0,2009999.9999999998,2180000.0,1210000.0
Raw Materials,186250000.0,176380000.0,178730000.0,315830000.0,289280000.0
Progress Payments & Other,11360000.0,8810000.0,10700000.0,22860000.0,4780000.0
Other Current Assets,51040000.0,36110000.0,12290000.0,47730000.0,38900000.0
Miscellaneous Current Assets,-206300.0,2250000.0,1060000.0,8680000.0,8189999.999999999
Total Current Assets,1190000000.0,1380000000.0,1860000000.0,2510000000.0,2330000000.0
"Net Property, Plant & Equipment",334100000.0,413500000.0,509340000.0,725220000.0,726610000.0
"Property, Plant & Equipment - Gross",742190000.0,813410000.0,1000000000.0,1170000000.0,1270000000.0
Buildings,229040000.0,244830000.0,371730000.0,269500000.0,286410000.0
Land & Improvements,209490.0,,,,
Computer Software and Equipment,31690000.0,35850000.0,40770000.0,35390000.0,41900000.0
"Other Property, Plant & Equipment",106480000.0,128600000.0,157830000.0,209810000.0,245220000.0
Accumulated Depreciation,408090000.0,399910000.0,492540000.0,448000000.0,547590000.0
Total Assets,1550000000.0,1830000000.0,2420000000.0,3340000000.0,3120000000.0
Total Assets Growth,,0.1773,0.3257,0.3784,-0.0659
ST Debt & Current Portion LT Debt,,,16219999.999999998,18210000.0,10090000.0
Current Portion of Long Term Debt,,,16219999.999999998,18210000.0,10090000.0
Accounts Payable,222330000.0,161900000.0,148120000.0,159300000.0,232350000.0
Accounts Payable Growth,,-0.2718,-0.0851,0.0755,0.4586
Income Tax Payable,89160000.0,130639999.99999999,179940000.0,219570000.0,187210000.0
Other Current Liabilities,834640000.0,1040000000.0,1220000000.0,1740000000.0,1460000000.0
Dividends Payable,9360000.0,6900000.0,8960000.0,8810000.0,3030000.0
Accrued Payroll,477660000.0,599530000.0,681310000.0,1030000000.0,758410000.0
Miscellaneous Current Liabilities,347620000.0,432340000.0,525140000.0,701080000.0,702930000.0
Total Current Liabilities,1150000000.0,1330000000.0,1560000000.0,2140000000.0000002,1890000000.0
Long-Term Debt,,,12740000.0,149320000.0,153550000.0
Provision for Risks & Charges,87820000.0,95320000.0,138380000.0,171350000.0,70420000.0
Deferred Taxes,-17710000.0,-15190000.0,-12630000.0,-28760000.0,-10890000.0
Deferred Taxes - Credits,12990000.0,13250000.0,35270000.0,69730000.0,50090000.0
Deferred Taxes - Debit,30690000.0,28440000.0,47900000.0,98490000.0,60980000.0
Total Liabilities,1250000000.0,1440000000.0,1750000000.0,2530000000.0,2170000000.0
Total Liabilities / Total Assets,0.8040999999999999,0.7887000000000001,0.7215,0.7579,0.6958
Common Equity (Total),303710000.0,385680000.0,673960000.0,807720000.0,948060000.0
Common Equity / Total Assets,0.1959,0.2113,0.2785,0.2421,0.3042
Common Stock Par/Carry Value,47250000.0,47250000.0,47250000.0,47250000.0,47250000.0
Retained Earnings,256459999.99999997,338430000.0,626710000.0,760470000.0,900810000.0
Total Shareholders' Equity,303710000.0,385680000.0,673960000.0,807720000.0,948060000.0
Total Shareholders' Equity / Total Assets,0.1959,0.2113,0.2785,0.2421,0.3042
Total Equity,303710000.0,385680000.0,673960000.0,807720000.0,948060000.0
Liabilities & Shareholders' Equity,1550000000.0,1830000000.0,2420000000.0,3340000000.0,3120000000.0
