BDT Per Billon,2017,2018,2019,2020,2021
Net Income before Extraordinaries,,525640000.0,879560000.0,1080000000.0,1100000000.0
Net Income Growth,,,0.6733,0.2254,0.022000000000000002
"Depreciation, Depletion & Amortization",,71350000.0,107870000.0,136710000.0,147050000.0
Depreciation and Depletion,,71350000.0,107870000.0,136710000.0,147050000.0
Other Funds,,-151480000.0,-209700000.0,-289410000.0,-296620000.0
Funds from Operations,450830000.0,445510000.0,777740000.0,925140000.0,951940000.0
Changes in Working Capital,,187240000.0,100910000.0,509370000.0,-299360000.0
Receivables,,45580000.0,42930000.0,17460000.0,-43510000.0
Accounts Payable,,150490000.0,138150000.0,634610000.0,-224140000.0
Other Assets/Liabilities,,17580000.0,69820000.0,-27370000.0,30340000.0
Net Operating Cash Flow,450830000.0,632750000.0,878650000.0,1430000000.0,652570000.0
Net Operating Cash Flow Growth,,0.4035,0.3886,0.6325999999999999,-0.5451
Net Operating Cash Flow / Sales,0.1229,0.1776,0.21289999999999998,0.26890000000000003,0.132
Capital Expenditures,-202770000.0,-157680000.0,-140910000.0,-369510000.0,-114390000.0
Capital Expenditures Growth,,0.2223,0.10640000000000001,-1.6222999999999999,0.6904
Capital Expenditures / Sales,-0.0553,-0.0443,-0.0341,-0.0693,-0.0231
Capital Expenditures (Fixed Assets),-202770000.0,-157680000.0,-140910000.0,-369510000.0,-114390000.0
Sale of Fixed Assets & Businesses,2040000.0,4210000.0,1130000.0,,2220000.0
Net Investing Cash Flow,-200730000.0,-153470000.0,-139780000.0,-369510000.0,-112170000.0
Net Investing Cash Flow Growth,,0.2354,0.0892,-1.6435,0.6964
Net Investing Cash Flow / Sales,-0.0547,-0.0431,-0.0339,-0.0693,-0.0227
Cash Dividends Paid - Total,-305170000.0,-243740000.0,-330910000.0,-590780000.0,-669290000.0
Common Dividends,-305170000.0,-243740000.0,-330910000.0,-590780000.0,-669290000.0
Net Financing Cash Flow,-305170000.0,-243740000.0,-347450000.0,-617210000.0,-700420000.0
Net Financing Cash Flow Growth,,0.20129999999999998,-0.4255,-0.7764,-0.1348
Net Financing Cash Flow / Sales,-0.0832,-0.0684,-0.0842,-0.1157,-0.1417
Net Change in Cash,-55070000.0,235540000.0,391420000.0,447790000.0,-160020000.0
Free Cash Flow,248060000.0,475070000.0,737740000.0,1070000000.0000001,538180000.0
Free Cash Flow Growth,,0.9151,0.5529,0.4436,-0.4947
Free Cash Flow Yield,,,,,-0.48
