BDT Per Billon,2017,2018,2019,2020,2021
Sales/Revenue,3670000000.0,3560000000.0,4130000000.0,5330000000.0,4940000000.0
Sales Growth,,-0.0294,0.15839999999999999,0.2927,-0.0735
Cost of Goods Sold (COGS) incl. D&A,1750000000.0,1790000000.0,1950000000.0,2420000000.0,2340000000.0
COGS Growth,,0.0202,0.0928,0.2386,-0.0305
COGS excluding D&A,1700000000.0,1720000000.0,1840000000.0,2280000000.0,2200000000.0
Depreciation & Amortization Expense,49330000.0,71350000.0,107870000.0,136710000.0,147050000.0
Depreciation,49330000.0,71350000.0,107870000.0,136710000.0,147050000.0
Gross Income,1920000000.0,1770000000.0,2170000000.0,2920000000.0,2600000000.0
Gross Income Growth,,-0.0746,0.2245,0.34130000000000005,-0.1091
Gross Profit Margin,,,,,0.5255
SG&A Expense,1270000000.0,1070000000.0000001,1180000000.0,1600000000.0,1260000000.0
SGA Growth,,-0.15539999999999998,0.10099999999999999,0.3515,-0.2116
Other SG&A,1270000000.0,1070000000.0000001,1180000000.0,1600000000.0,1260000000.0
Other Operating Expense,2040000.0,,,268670000.0,233630000.0
Unusual Expense,,,,9870000.0,3030.0
EBIT after Unusual Expense,,,,-9870000.0,1100000000.0
Non Operating Income/Expense,-110990000.0,-195630000.0,-154890000.0,-9510000.0,-5000000.0
Non-Operating Interest Income,10420000.0,21410000.0,46410000.0,60610000.0,14490000.0
Interest Expense,983910.0,1080000.0,2880000.0,11850000.0,11680000.0
Interest Expense Growth,,0.09699999999999999,1.67,3.1138,-0.0149
Gross Interest Expense,983910.0,1080000.0,2880000.0,11850000.0,11680000.0
Pretax Income,542800000.0,525640000.0,879560000.0,1080000000.0,1100000000.0
Pretax Income Growth,,-0.0316,0.6733,0.2254,0.022000000000000002
Pretax Margin,,,,,0.2229
Income Tax,161800000.0,193870000.0,260300000.0,338950000.0,293380000.0
Income Tax - Current Domestic,153180000.0,189200000.0,257660000.00000003,350250000.0,273680000.0
Income Tax - Deferred Domestic,8630000.0,4670000.0,2640000.0,-11300000.0,19700000.0
Consolidated Net Income,381000000.0,331770000.0,619260000.0,738890000.0,808120000.0
Net Income,381000000.0,331770000.0,619260000.0,738890000.0,808120000.0
Net Income Growth,,-0.1292,0.8665,0.1932,0.09369999999999999
Net Margin Growth,,,,,0.1635
Net Income After Extraordinaries,381000000.0,331770000.0,619260000.0,738890000.0,808120000.0
Net Income Available to Common,381000000.0,331770000.0,619260000.0,738890000.0,808120000.0
EPS (Basic),80.63,70.22,131.06,156.38,171.03
EPS (Basic) Growth,,-0.1292,0.8665,0.1932,0.09369999999999999
Basic Shares Outstanding,4730000.0,4730000.0,4730000.0,4730000.0,4730000.0
EPS (Diluted),80.63,70.22,131.06,156.38,171.03
EPS (Diluted) Growth,,-0.1292,0.8665,0.1932,0.09369999999999999
Diluted Shares Outstanding,4730000.0,4730000.0,4730000.0,4730000.0,4730000.0
EBITDA,693680000.0,772290000.0,1100000000.0,1190000000.0,1250000000.0
EBITDA Growth,,0.1133,0.4228,0.0786,0.0553
EBITDA Margin,,,,,0.2531
