,Trading code,LTP,Change %,High,Low,Close,YCP,Change,Trade,Value,Volume
0,1JANATAMF,6.3,-1.56,6.4,6.3,6.3,6.4,-0.1,75,1.6,250749
1,1STPRIMFMF,17.1,-1.72,17.4,17.0,17.1,17.4,-0.3,341,9.32,546325
2,AAMRANET,38.2,-0.26,38.5,37.9,38.2,38.3,-0.1,487,18.29,479364
3,AAMRATECH,34.4,0.58,34.8,34.0,34.4,34.2,0.2,921,54.41,1583033
4,ABB1STMF,5.3,-1.85,5.5,5.2,5.3,5.4,-0.1,237,6.97,1315811
5,ABBANK,10.0,-1.96,10.3,10.0,10.0,10.2,-0.2,276,5.3,524904
6,ACFL,27.3,-3.87,28.9,27.0,27.3,28.4,-1.1,277,6.99,249119
7,ACI,273.9,-1.4,277.0,273.6,273.9,277.8,-3.9,279,10.81,39391
8,ACIFORMULA,155.5,-1.77,159.0,155.0,155.5,158.3,-2.8,466,30.28,193576
9,ACMELAB,87.1,-1.36,89.0,87.0,87.1,88.3,-1.2,480,28.3,323745
10,ACMEPL,43.0,-2.05,45.7,42.3,43.0,43.9,-0.9,2477,92.36,2090257
11,ACTIVEFINE,19.6,-1.5,20.3,19.5,19.7,20.0,-0.3,579,21.43,1076615
12,ADNTEL,59.4,-1.49,61.7,59.1,59.4,60.3,-0.9,201,5.94,98830
13,ADVENT,23.3,-2.92,24.0,23.1,23.3,24.0,-0.7,290,9.41,400031
14,AFCAGRO,23.9,-3.63,25.0,23.7,23.9,24.8,-0.9,217,6.07,253065
15,AFTABAUTO,25.8,-1.15,26.0,25.7,25.8,26.1,-0.3,55,0.83,32036
16,AGNISYSL,23.0,-2.54,23.6,22.8,23.0,23.6,-0.6,586,24.72,1065347
17,AGRANINS,38.7,-0.51,39.2,38.7,38.7,38.9,-0.2,121,1.84,47336
18,AIBL1STIMF,7.3,0.0,7.4,7.3,7.3,7.3,0.0,30,0.59,80306
19,AIL,56.0,2.38,57.8,54.2,56.0,54.7,1.3,1625,82.27,1459480
20,ALARABANK,23.8,0.0,23.8,23.6,23.8,23.8,0.0,52,1.35,56764
21,AL-HAJTEX,133.3,-0.37,134.9,132.2,133.3,133.8,-0.5,439,33.45,250953
22,ALIF,13.6,-2.86,14.0,13.6,13.6,14.0,-0.4,887,38.45,2801025
23,ALLTEX,24.6,-0.4,24.9,24.6,24.6,24.7,-0.1,378,15.88,644902
24,AMANFEED,37.6,4.44,38.5,36.2,37.6,36.0,1.6,2350,89.89,2387621
25,AMBEEPHA,513.1,-1.69,546.0,510.0,513.1,521.9,-8.8,199,3.39,6616
26,AMCL(PRAN),270.2,-1.49,274.9,268.0,270.2,274.3,-4.1,276,7.32,27050
27,ANLIMAYARN,37.3,-0.53,37.6,37.1,37.3,37.5,-0.2,249,6.41,172311
28,ANWARGALV,383.9,-0.03,389.9,383.9,383.9,384.0,-0.1,165,8.09,21062
29,AOL,36.9,-1.08,37.4,36.8,36.8,37.2,-0.4,120,3.55,96012
30,APEXFOODS,170.4,-1.39,174.7,170.4,170.4,172.8,-2.4,220,5.71,33493
31,APEXFOOT,264.5,-2.18,269.6,263.0,264.5,270.4,-5.9,186,5.15,19363
32,APEXSPINN,140.0,3.17,143.9,135.7,140.0,135.7,4.3,578,15.59,112135
33,APEXTANRY,128.7,0.0,128.7,128.7,128.7,128.7,0.0,29,0.93,7222
