 Types of current institution you are studying-,Gender,Current age in year,What is the name of your institution?,What class are you read in? ,What is your study group?,"Do you think if the course load will less/more than the current courses, your performance would be better/worst?",How many students in your in your SSC/ HSC/ Dhakil/ Alim class? ,Does anyone studied in madrasa from your family?,Who studied madrasa from your family members?,Is that your parents choice that is why you are studying in school/ Madrasa ?,What was your cost admitting to School/Madrasa/college?,What is your monthly fee in your school/Madrasa? ,What is your monthly fee in your school/Madrasa? .1,What is your father's profession?,What is your parents education status?,What is your mothers profession?,what types of house you are living?,In which subject you are more interested to study in your school/Madrasa? ,"According to your last year performance, in which subject you did very well? ",What is your marks range in mathematics for science/ict for Arts/ commerce(information and communications technology) from your last year final exam ? ) ,What is your marks range in English from your last year final exam ? ,"What was your ""JSC"" /JDC result?","If you are a ALIM/HSC student ,what was your SSC/ DAKHIL result?",Are you satisfied with your Math/Ict performance ? ,Are you satisfied with your English performance ? ,Do you speak English ? ,Do you think madrasa education system is better than school/College education system?(আপনি কি স্কুল শিক্ষা ব্যবস্থার চেয়ে মাদ্রাসা শিক্ষা ব্যবস্থাকে ভালো মনে করেন?),Do you have any intention to study at University (General Education) ? ,Did you participate in the Annual Math competition in your school/Madrasa?,Did you participate in the Annual  English writing competition in your school/Madrasa? ,How many hours you are doing  work(job) beside your study? ,During covid-19 did you study Math and English at your home? , Do you study Math and English to your private tutor?,Your private Tuition fee amount,"What strategy might be improving your Math and English skill, you think?",Did you study madrasa earlier?
q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35,q36,q37
,Male (পুরুষ),17,Alnur academy & high school,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),,49,No,No one,My parents choice that is why I am studying in School (আমার বাবা-মায়ের পছন্দ তাই আমি স্কুলে পড়ছি),1000-2000Taka,700-900 Taka,around 200,Private Employee (বেসরকারি কর্মচারী),"Studied in school,colleges",Housewife (গৃহিণী),Mud house interior( টিন দিয়ে মাটির তৈরি ঘর),English (ইংরেজি),English (ইংরেজি),50-70%,50-70%,A,currently i am studying in class 10,Yes (হ্যাঁ),Yes (হ্যাঁ),Yes  (হ্যাঁ),No(না),Yes (হ্যাঁ),Yes (হ্যাঁ),Yes (হ্যাঁ),0-5 hours,Yes (হ্যাঁ),Yes  (হ্যাঁ),1000 taka,I have to give more time on my self to improve my skill ,
School (বিদ্যালয়),Male (পুরুষ),15,Alnur academy & high school,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),,49,Yes,Mother,My parents choice that is why I am studying in School (আমার বাবা-মায়ের পছন্দ তাই আমি স্কুলে পড়ছি),500-1000Taka,700-900 Taka,around 300,Farmer (কৃষক),studied in Madrasa,Housewife (গৃহিণী),Mud house interior( টিন দিয়ে মাটির তৈরি ঘর),English (ইংরেজি),English (ইংরেজি),70-90%,70-90%,A-,currently i am studying in class 10,Yes (হ্যাঁ),Yes (হ্যাঁ),I can speak English a little bit but am not fluent(আমি একটু একটু ইংরেজি বলতে পারি কিন্তু সাবলীল নই),"Even though I am studying in school, I mostly prefer Madrasa education system.(যদিও আমি স্কুলে পড়ি, আমি বেশিরভাগ মাদ্রাসা শিক্ষা পদ্ধতি পছন্দ করি।)",Yes (হ্যাঁ),Yes (হ্যাঁ),Yes (হ্যাঁ),I am currently unemployed ( আমি বর্তমানে বেকার ),Yes (হ্যাঁ),Yes  (হ্যাঁ),1500 taka,I have to give more time on my self to improve my skill,
School (বিদ্যালয়),Female (মহিলা),18,Patlashi Abdul Halim Khan Dakhil Madrasa,HSC / Alim Student (আলিম ছাত্র),Science (বিজ্ঞান),If i have less courses like general education I would do better in Madrasa.,30,Yes,"Father, Mother, Relatives",My parents choice that's why I am studying in Madrasa (আমার বাবা-মায়ের ইচ্ছা তাই আমি মাদরাসায় পড়ছি),1000-2000Taka,100-300 Taka,around 200taka,Primary school Teacher (প্রাথমিক স্কুল শিক্ষক),"Studied in school,colleges",Housewife (গৃহিণী),Mud house interior( টিন দিয়ে মাটির তৈরি ঘর),English (ইংরেজি),Others (অন্যান্য),50-70%,50-70%,A,A-,No (না),No (না),I can speak English a little bit but am not fluent(আমি একটু একটু ইংরেজি বলতে পারি কিন্তু সাবলীল নই),Yes (হ্যাঁ),Yes (হ্যাঁ),No (না),No (না),I am currently unemployed ( আমি বর্তমানে বেকার ),Yes (হ্যাঁ),No(না),1500,I need to take private tutor to improve my skill because i am afraid of my school/Madrasa teacher,
School (বিদ্যালয়),Male (পুরুষ),19,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),"Depending on my study effort, more/less subjects doesn't matter to perform well in the exam.",49,No,Brother,My parents choice that is why I am studying in School (আমার বাবা-মায়ের পছন্দ তাই আমি স্কুলে পড়ছি),500-1000Taka,700-900 Taka,around 400,High school Teacher (উচ্চ বিদ্যালয়ের শিক্ষক),"Studied in school,colleges",Primary school Teacher (প্রাথমিক স্কুল শিক্ষক),Roof house made of bricks ( ইট দিয়ে তৈরি  ছাদের বাড়ি),Math (গণিত),English (ইংরেজি),90-100%,90-100%,A+,currently i am studying in class 10,Yes (হ্যাঁ),Yes (হ্যাঁ),I can speak English a little bit but am not fluent(আমি একটু একটু ইংরেজি বলতে পারি কিন্তু সাবলীল নই),No(না),Yes (হ্যাঁ),Yes (হ্যাঁ),Yes (হ্যাঁ),I am currently unemployed ( আমি বর্তমানে বেকার ),Yes (হ্যাঁ),Yes  (হ্যাঁ),2000,If my teacher gives me more time on these subject my skill will be improved ,
School (বিদ্যালয়),Female (মহিলা),15,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),,49,No,Relatives,My parents choice that is why I am studying in School (আমার বাবা-মায়ের পছন্দ তাই আমি স্কুলে পড়ছি),500-1000Taka,700-900 Taka,around 300,Small business man (ছোট ব্যবসায়ী),"Studied in school,colleges",Housewife (গৃহিণী),Mud house interior( টিন দিয়ে মাটির তৈরি ঘর),English (ইংরেজি),Math  (গণিত),70-90%,70-90%,A-,currently i am studying in class 10,Yes (হ্যাঁ),Yes (হ্যাঁ),Yes  (হ্যাঁ),No(না),I want to study in my local area not outside of my village area (আমি আমার গ্রামের এলাকার বাইরে নয় আমার স্থানীয় এলাকায় পড়াশোনা করতে চাই),Yes (হ্যাঁ),No (না),0-5 hours,Sometimes (মাঝে মাঝে),Yes  (হ্যাঁ),1000,I need to take private tutor to improve my skill because i am afraid of my school/Madrasa teacher,
School (বিদ্যালয়),Female (মহিলা),15,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),,49,Yes,Relatives,My parents choice that is why I am studying in School (আমার বাবা-মায়ের পছন্দ তাই আমি স্কুলে পড়ছি),500-1000Taka,700-900 Taka,around 200,Small business man (ছোট ব্যবসায়ী),"Studied in school,colleges",Garments worker (গার্মেন্টস কর্মী),House made of bricks with Tin roof (টিনের  ছাওনিসহ ইট দিয়ে তৈরি ঘর),English (ইংরেজি),Math  (গণিত),70-90%,70-90%,A-,A-,Yes (হ্যাঁ),Yes (হ্যাঁ),I am afraid of English (আমি ইংরেজিকে ভয় পাই),No(না),I want to study in my local area not outside of my village area (আমি আমার গ্রামের এলাকার বাইরে নয় আমার স্থানীয় এলাকায় পড়াশোনা করতে চাই),Yes (হ্যাঁ),Yes (হ্যাঁ),I am currently unemployed ( আমি বর্তমানে বেকার ),Sometimes (মাঝে মাঝে),Yes  (হ্যাঁ),1500,Our teacher should be trained ,
School (বিদ্যালয়),Female (মহিলা),15,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),,49,Yes,"Brother, Relatives",My parents choice that is why I am studying in School (আমার বাবা-মায়ের পছন্দ তাই আমি স্কুলে পড়ছি),500-1000Taka,700-900 Taka,Around 200 taka,Small business man (ছোট ব্যবসায়ী),"Studied in school,colleges",Housewife (গৃহিণী),complete Tin house (সম্পূর্ণ টিনের ঘর),English (ইংরেজি),Math  (গণিত),70-90%,70-90%,A,currently i am studying in class 10,Yes (হ্যাঁ),Yes (হ্যাঁ),I can speak English a little bit but am not fluent(আমি একটু একটু ইংরেজি বলতে পারি কিন্তু সাবলীল নই),No(না),Yes (হ্যাঁ),Yes (হ্যাঁ),Yes (হ্যাঁ),I am currently unemployed ( আমি বর্তমানে বেকার ),Sometimes (মাঝে মাঝে),Yes  (হ্যাঁ),1500,I have to give more time on my self to improve my skill ,
School (বিদ্যালয়),Male (পুরুষ),17,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),,49,No,No one,My parents choice that is why I am studying in School (আমার বাবা-মায়ের পছন্দ তাই আমি স্কুলে পড়ছি),500-1000Taka,700-900 Taka,around 200,Whole seller-Big Business man (পাইকারী বিক্রেতা),"Studied in school,colleges",Housewife (গৃহিণী),Roof house made of bricks ( ইট দিয়ে তৈরি  ছাদের বাড়ি),English (ইংরেজি),English (ইংরেজি),50-70%,50-70%,A-,currently i am studying in class 10,Yes (হ্যাঁ),Yes (হ্যাঁ),I can speak English a little bit but am not fluent(আমি একটু একটু ইংরেজি বলতে পারি কিন্তু সাবলীল নই),"Even though I am studying in school, I mostly prefer Madrasa education system.(যদিও আমি স্কুলে পড়ি, আমি বেশিরভাগ মাদ্রাসা শিক্ষা পদ্ধতি পছন্দ করি।)",Yes (হ্যাঁ),No (না),No (না),I am currently unemployed ( আমি বর্তমানে বেকার ),Yes (হ্যাঁ),Yes  (হ্যাঁ),1200,I have to give more time on my self to improve my skill ,
School (বিদ্যালয়),Male (পুরুষ),15,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),,49,Yes,Brother,My parents choice that is why I am studying in School (আমার বাবা-মায়ের পছন্দ তাই আমি স্কুলে পড়ছি),500-1000Taka,700-900 Taka,around 200,Small business man (ছোট ব্যবসায়ী),studied in Madrasa,Housewife (গৃহিণী),Mud house interior( টিন দিয়ে মাটির তৈরি ঘর),Math (গণিত),Math  (গণিত),70-90%,70-90%,I got Auto pass because of Covid-19 pandemic,currently i am studying in class 10,I don't understand the way my teacher teaching me Math. (আমার শিক্ষক যেভাবে আমাকে গণিত শেখান তা আমি বুঝতে পারি না।),Yes (হ্যাঁ),I can speak English a little bit but am not fluent(আমি একটু একটু ইংরেজি বলতে পারি কিন্তু সাবলীল নই),No(না),Yes (হ্যাঁ),Yes (হ্যাঁ),Yes (হ্যাঁ),I am currently unemployed ( আমি বর্তমানে বেকার ),Sometimes (মাঝে মাঝে),No(না),1500,I have to give more time on my self to improve my skill ,
