Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-07-10,220.0,246.25,212.5,230.0,119436,0,0.0
2017-07-11,227.5,231.25,216.25,230.0,42212,0,0.0
2017-07-12,223.75,230.0,221.25,225.0,23668,0,0.0
2017-07-13,222.5,226.25,218.75,220.0,14200,0,0.0
2017-07-14,220.0,240.0,217.5,232.5,22256,0,0.0
2017-07-17,233.75,233.75,218.75,222.5,13732,0,0.0
2017-07-18,225.0,232.0,217.5,223.75,19396,0,0.0
2017-07-19,226.25,256.25,220.0,246.25,49320,0,0.0
2017-07-20,250.0,256.5,237.75,243.75,27552,0,0.0
2017-07-21,245.0,252.5,238.75,245.0,21656,0,0.0
2017-07-24,243.75,247.25,230.0,235.0,27140,0,0.0
2017-07-25,233.75,235.0,211.0,227.5,36028,0,0.0
2017-07-26,226.25,226.25,212.5,217.5,15588,0,0.0
2017-07-27,215.0,218.75,203.75,210.0,23656,0,0.0
2017-07-28,207.5,225.0,205.25,218.75,23744,0,0.0
2017-07-31,220.0,225.0,208.75,211.25,20136,0,0.0
2017-08-01,210.0,215.75,193.75,201.25,34220,0,0.0
2017-08-02,200.0,205.0,185.0,191.25,16660,0,0.0
2017-08-03,191.25,193.75,180.0,182.5,12600,0,0.0
2017-08-04,185.0,205.0,183.75,201.25,19276,0,0.0
2017-08-07,200.0,218.75,200.0,206.25,14948,0,0.0
2017-08-08,206.25,208.5,190.0,192.5,17784,0,0.0
2017-08-09,190.0,197.5,190.0,192.5,10276,0,0.0
2017-08-10,195.0,200.0,186.25,191.25,10468,0,0.0
2017-08-11,192.5,195.0,186.25,188.75,8632,0,0.0
2017-08-14,190.0,191.25,181.25,185.0,14188,0,0.0
2017-08-15,180.0,211.25,175.25,202.5,33324,0,0.0
2017-08-16,203.75,221.0,199.0,212.5,27332,0,0.0
2017-08-17,210.0,225.25,201.25,203.75,24432,0,0.0
2017-08-18,201.25,215.0,186.25,195.0,30112,0,0.0
2017-08-21,196.25,203.75,187.5,196.25,20136,0,0.0
2017-08-22,198.5,205.0,194.5,196.25,18108,0,0.0
2017-08-23,200.0,223.75,199.5,218.75,31904,0,0.0
2017-08-24,221.25,242.5,221.25,240.0,34228,0,0.0
2017-08-25,241.25,250.0,220.0,226.25,38728,0,0.0
2017-08-28,226.25,247.0,225.0,237.5,27500,0,0.0
2017-08-29,251.25,290.0,240.0,281.25,111496,0,0.0
2017-08-30,286.25,355.0,268.0,341.25,139212,0,0.0
2017-08-31,337.5,356.25,306.25,328.75,122312,0,0.0
2017-09-01,326.25,349.75,322.75,345.0,59508,0,0.0
2017-09-05,346.25,381.25,332.5,355.0,88308,0,0.0
2017-09-06,353.75,362.5,326.0,335.0,53980,0,0.0
2017-09-07,335.0,349.75,327.5,346.25,31488,0,0.0
2017-09-08,348.75,355.0,335.0,346.25,24264,0,0.0
2017-09-11,347.5,365.0,343.75,350.0,32424,0,0.0
2017-09-12,355.0,355.75,341.5,345.0,21124,0,0.0
2017-09-13,341.25,357.5,340.0,350.0,36952,0,0.0
2017-09-14,348.75,355.75,343.75,350.0,26268,0,0.0
2017-09-15,362.5,431.25,362.5,430.0,173004,0,0.0
2017-09-18,426.25,447.5,403.75,412.5,85716,0,0.0
2017-09-19,416.25,426.25,402.75,418.75,44316,0,0.0
2017-09-20,423.75,423.75,404.5,412.5,23884,0,0.0
2017-09-21,412.5,426.25,403.75,405.0,36896,0,0.0
2017-09-22,397.5,397.5,365.0,373.75,57864,0,0.0
2017-09-25,370.0,385.0,342.5,367.5,45552,0,0.0
2017-09-26,368.75,377.5,347.5,353.75,30356,0,0.0
2017-09-27,358.75,390.0,356.25,378.75,33832,0,0.0
2017-09-28,385.0,435.0,385.0,423.75,65356,0,0.0
2017-09-29,427.5,472.5,406.25,426.25,85320,0,0.0
2017-10-02,418.75,447.25,415.0,443.75,25260,0,0.0
2017-10-03,461.25,461.25,423.75,440.0,27448,0,0.0
2017-10-04,437.5,444.75,428.75,435.0,21672,0,0.0
2017-10-05,463.75,471.25,437.5,462.5,46980,0,0.0
2017-10-06,466.25,467.5,435.0,442.5,38756,0,0.0
2017-10-09,446.25,452.5,430.0,437.5,27680,0,0.0
2017-10-10,450.0,508.75,438.75,498.75,97772,0,0.0
2017-10-11,511.25,568.75,455.0,483.75,128596,0,0.0
2017-10-12,485.0,496.25,436.25,438.75,72344,0,0.0
2017-10-13,441.25,447.25,393.75,402.5,79288,0,0.0
2017-10-16,427.5,432.5,400.0,417.5,49952,0,0.0
2017-10-17,435.0,458.75,413.75,447.5,156384,0,0.0
2017-10-18,443.75,450.0,417.5,437.5,74248,0,0.0
2017-10-19,433.75,447.5,430.0,443.75,41992,0,0.0
2017-10-20,445.0,500.0,445.0,475.0,74644,0,0.0
2017-10-23,477.5,510.0,459.25,465.0,63688,0,0.0
2017-10-24,461.25,474.75,446.25,446.25,39940,0,0.0
2017-10-25,445.0,465.0,438.75,450.0,27848,0,0.0
2017-10-26,443.75,457.5,426.25,435.0,58152,0,0.0
2017-10-27,432.5,438.75,425.0,432.5,37672,0,0.0
2017-10-30,435.0,439.0,426.25,436.25,26036,0,0.0
2017-10-31,438.75,451.25,432.5,448.75,21704,0,0.0
2017-11-01,452.5,452.5,403.75,410.0,53504,0,0.0
2017-11-02,407.5,424.5,403.75,418.75,16416,0,0.0
2017-11-03,416.25,423.25,408.75,412.5,23116,0,0.0
2017-11-06,415.0,423.75,405.0,407.5,30176,0,0.0
2017-11-07,408.75,415.0,356.25,358.25,66228,0,0.0
2017-11-08,371.25,396.25,365.75,377.5,44004,0,0.0
2017-11-09,372.5,380.75,362.5,370.0,34296,0,0.0
2017-11-10,371.25,385.0,367.5,381.25,25268,0,0.0
2017-11-13,382.5,382.5,363.75,367.5,17560,0,0.0
2017-11-14,365.0,378.75,358.75,377.5,21552,0,0.0
